REPORTE DE VENTAS (BETA)
Generado por: Área Comercial | Formato no definitivo
ProductoID,Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Agt,Sep,Oct,Nov,Dic
P001,2024,$12,500.00,13400,13890,5,14000,14100,14250,N/A,14500,14600,-,14890,14950
P002,2024,9500,9700,9900,10010,10150,,10300,10420,10500,10600,10750,10800
P003,2024,4200,4300,NaN,4500,4600,4700,4800,4900,5000,5100,5200,5300
P004,24 , 8000 ,8200,8350,8450,8580,8700,8800,-,9000,9150,9280,9400
P005,2024,0,0,0,0,0,0,0,0,0,0,0,0
P006,202X,5100,5200,5300,5400,5500,-,5700,5800,,6000,6100,6200
P007,2024,7300,7400,7500,7600,7700,7800,7900,8000,8100,NaN,8300,8400
P008,2024,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300
P009,202,1100,1200,1300,1400,1500,1600,1700,,1900,2000,2100,2200
P010,2024,15000,15100,15200,15300,15400,15500,N/A,15700,15800,15900,16000,16100
P011,2024,3000,0,3100,3200,3300,no,3500,3600,3700,3800,3900,4000
P012,2024,2500,2600,2700,2800,NaN,3000,3100,3200,3300,3400,3500,3600
P013,2024,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,,5500
P014,24,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100
P015,2024,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800
P016,2024,12000,12100,12200,12300,12400,12500,12600,12700,12800,,13000,13100
P017,2024,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200
P018,2024,5100,5200,5300,5400,-,5600,5700,5800,-,6000,6100,-
P019,2024,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200
P020,2024,9100,9200,9300,9400,9500,9600,N/A,9800,9900,10000,10100,10200
"P021,2024,10100,10200,10300,10400,10;500,10600,10700,10800,10900,11000,11100,11200"
P022,202,2200,2300,2400,2500,2600,2700,2800,2900,,3100,3200,3300
"P023,2024,3300,3400,3500,3600,370;0,3800,3900,4000,4100,4200,4300,NaN"
P024,2024,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500
"P025,2024,5;600,5700,5800,5900,6000,6100,6;200,6300,6400,6500,6600,6700"
