Id,RazonSocial,Email,Tel,Country
P001,TecnoParts S.A.,ventas@tecnoparts.com,+57-1-555-7777,CO
P002,Gama Digital,contacto@gamadigital.co,(1)5558888,Col
P003,ElectroMundo,electro.mundo@mail,com,320-555-9988,MX
P004,Soluciones Integrales,info@solucionesint.com,,PE
P005,Logística Global,ventas@@logistica.com,+56 222334455,CL
P006,DataSys Ltda.,contact@datasy.co,601.345.6789,CO
P007,RedCom S.A.S.,redcom@empresa,,VE
P008,Andina Tech,andina.tech@mail,.,BO
P009,Distribuciones del Norte,ventas@distribucionesnorte.com,+52 5512345678,MX
P010,CompuMarket,compumarket@mail.com,3124445566,CO
P011,OfficePro,contacto.officepro@mail.,300.111.2233,CL
P012,EcoPrint S.A.,ventas@ecoprint.co,,PE
P013,GlobalNet,gnet@correo,,EC
P014,SoftLine Ltda.,soporte@softline.org,57 315-222-3344,CO
P015,Importaciones Caribe,caribe.import@mail.com,3015556666,VE
P016,NextGen Tech,nextgen@mail.co,314.777.8899,CO
P017,CompuVision,cvision@mail..com,+54 911223344,AR
P018,Digital Solutions,dsolutions@mail,co,3201239876,CO
P019,ElectroCom Ltd.,electrocom@empresa.com,,MX
P020,Suministros del Sur,suministros.sur@correo.,3004445566,CL
P021,TechExpress,ventas@techexpress.co,+502 55667788,GT
P022,Multimedia Group,mmgroup@dominio,org,318.666.7777,CO
P023,InfoRed,info@infored.com,57 321-999-8888,PE
P024,Smart Office,smart.office@mail.co,,CO
P025,Proveeduría Andina,andina@proveeduria.,301.234.5678,BO
P026,VisionTech,visiontech@@empresa.com,+57 3029876543,CO
P027,Sistemas y Datos,sydata@mail.com,315-765-4321,MX
P028,GlobalPrint,globalprint@mail.co,312.555.7777,CL
P029,RedLog,contacto@redlog,,CO
P030,ElectroAndes,eandes@empresa.c,57-1-2345678,PE
